adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/lprsAHkwMxk2iC6VZxNmV0H7g1t.jpg,"[28, 80, 18]",781732,hi,Animal,The hardened son of a powerful industrialist returns home after years abroad and vows to take bloody revenge on those threatening his father's life.,7.2696,/hr9rjR3J0xBBKmlJ4n3gHId9ccx.jpg,2023-12-01,Animal,False,6.113,172
False,/vuaPZ4IbsIRr2wDARZT7rFQ5CgP.jpg,"[35, 53, 18]",467905,en,How to Make a Killing,"Disowned at birth by his obscenely wealthy family, blue-collar Becket Redfellow will stop at nothing to reclaim his inheritance, no matter how many relatives stand in his way.",7.6288,/yQ7OP2HYxl9YmkWNMkuUA2YaF5.jpg,2026-02-20,How to Make a Killing,False,0.0,0
False,/o0jRpVznKXuLvoXQX9UTKVtGjxK.jpg,"[10749, 18]",1317672,en,Love Me Love Me,"June moves to Italy for a fresh start after her brother's death. At her new elite school, she is drawn to James, a dangerous bully involved in clandestine MMA fights, but begins dating his best friend, Will, the perfect honor student. However, appearances can be deceiving, and June soon discovers that no one at her school is who they seem, as everyone is hiding a secret. As tensions rise and hidden truths come to light, June must decide where her heart truly belongs.",6.8421,/jfwHKRHRE2X4NTexdzblaioHH51.jpg,2026-02-12,Love Me Love Me,False,0.0,0
False,/q2UhJtqp4ONeARofhpIHx4S0ElU.jpg,[18],1549519,tl,Sex Trip,Details Here,7.6357,/sr4sLilBbPx4TfPnX2zzUxlySgu.jpg,2026-02-20,Sex Trip,False,0.0,0
False,/xxFH8OgUVw5LyJmqBaXeV97mfri.jpg,"[35, 18]",1159206,en,Father Mother Sister Brother,"Three stories concerning the relationships between adult children, their somewhat distant parent (or parents), and each other: a reclusive father visited by his grown children in the US, sisters visiting their novelist mother in Dublin, and adult twins called back to their Paris apartment to address a family tragedy.",7.4779,/zewZA6sL52YSH8xIH4wbG5GadjV.jpg,2025-12-01,Father Mother Sister Brother,False,6.6,135
False,/2UXrkv2G1aXMyn3VY70krD9Anid.jpg,"[18, 878, 35]",1172265,pt,O Último Azul,"In the name of economic recovery, the Brazilian Government created a perennial system of compulsory vertical isolation for seniors over 80 to be confined in a colony. Teca is 77 and lives in the village of Muriti, in the Amazon, when she is surprised by the announcement of the age reduction, including her age group. Cornered, Teca makes an intriguing journey hidden from the officers amidst rivers, boats and the underworld to clandestinely try to fulfill her last dream, to take a plane ride.",6.9188,/ua8XnJ450rhBTxkY2wpD2ITw7BJ.jpg,2025-08-28,The Blue Trail,False,7.082,67
False,/cXr5YOMJKZBkokgNogHjEyFZLc6.jpg,[18],1221061,de,In die Sonne schauen,"Four adolescent girls each spend their youth in the same farmhouse over the last century. Though separated by decades, resonances between their lives emerge: their desires and distress, secrets and truths, encounters with another’s gaze and defiant gaze in return.",6.3179,/mv2edAI0vmheVVcv4mIVW5X8GNP.jpg,2025-08-28,Sound of Falling,False,6.823,48
False,/i1Aa25l2TtKwp528wM5g2MK4ER6.jpg,"[10749, 53, 18]",1134463,en,Dreams,"A powerful socialite and a promising ballet dancer begin a dangerous affair. When he secretly crosses the US-Mexico border, she takes desperate measures to protect their future together.",6.8205,/k18RLaw3Z7kx82lK9V3FzNyJgiH.jpg,2025-07-10,Dreams,False,6.063,48
False,/mneFxmt58673hcmzPwmAOjuiaJg.jpg,[99],1465655,en,Natchez,"Filmmaker Suzannah Herbert takes a sharp look at the American South’s unreconciled history through a Mississippi town that mixes antebellum tourism with a community deeply divided over its past. With an unflinching lens, the film captures the debates, memories, and tensions that are building toward a reckoning.",6.4062,/yPTXiyIML1vz1nbJsoKGeedn3DX.jpg,2026-01-30,Natchez,False,0.0,0
False,/sueKcqeTG4tk7yeDXCHDvkYS8rl.jpg,"[14, 10751, 12]",1278853,de,Woodwalkers 2,"For shapeshifter Carag and his friends Brandon, Holly, and Lou, a new school year begins at Clearwater High. But first, the Woodwalker Council must decide whether Carag's mentor and patron of the school, Andrew Milling, is guilty of attacking humans. Carag is in a dilemma: he wants to put a stop to Milling's actions, but Milling promises to take him to his true puma family if he covers for him before the council.",7.4094,/9WrGxlyXnoV0ecLiA76wNaga8pK.jpg,2026-01-29,Woodwalkers 2,False,7.0,1
